"Player","Team","Position","Type","Team","Pr","Grp/Max","Date (PST)","Gameweek"
"Sander Berge","BUR","M","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
"Dara O'Shea","BUR","D","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
"Issa Kabore","LUT","D","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
"Matz Sels","NEW/NOT","G","Drop","katabe","","","Sat Mar 16, 2024, 2:08PM","30"
"Yves Bissouma","TOT","M","Drop","sean","","","Sat Mar 16, 2024, 12:10PM","30"
"Zanka","BRF","D","Drop","sean","","","Sat Mar 16, 2024, 12:10PM","30"
"Nathan Collins","BRF","D","Drop","mg","","","Sat Mar 16, 2024, 12:09PM","30"
"Frank Onyeka","BRF","M","Drop","mg","","","Sat Mar 16, 2024, 12:09PM","30"
"Mads Roerslev","BRF","D","Drop","mg","","","Sat Mar 16, 2024, 12:09PM","30"
"Diogo Jota","LIV","F","Claim","mg","1","1/99","Sat Mar 16, 2024, 12:00PM","29"
"Jhon Duran","AVL","F","Drop","mg","","","Sat Mar 16, 2024, 12:00PM","29"
"Neco Williams","NOT","D","Drop","tj","","","Sat Mar 16, 2024, 11:24AM","30"
"Josh Cullen","BUR","M","Drop","tj","","","Sat Mar 16, 2024, 11:24AM","30"
"Conor Bradley","LIV","D","Claim","tj","","","Sat Mar 16, 2024, 11:23AM","29"
"Aaron Cresswell","WHU","D","Drop","tj","","","Sat Mar 16, 2024, 11:23AM","29"
"Nayef Aguerd","WHU","D","Claim","sean","","","Sat Mar 16, 2024, 9:42AM","29"
"Micky van de Ven","TOT","D","Drop","sean","","","Sat Mar 16, 2024, 9:42AM","29"
"Yves Bissouma","TOT","M","Claim","sean","","","Sat Mar 16, 2024, 9:41AM","29"
"Harry Wilson","FUL","M","Drop","sean","","","Sat Mar 16, 2024, 9:41AM","29"
"Timothy Castagne","LEI/FUL","D","Claim","vu","","","Sat Mar 16, 2024, 9:34AM","29"
"Calvin Bassey","FUL","D","Drop","vu","","","Sat Mar 16, 2024, 9:34AM","29"
"Radu Dragusin","TOT","D","Claim","vu","","","Sat Mar 16, 2024, 7:24AM","29"
"Ezri Konsa","AVL","D","Drop","vu","","","Sat Mar 16, 2024, 7:24AM","29"
"Neal Maupay","EVE/BRF","F","Claim","katabe","","","Sat Mar 16, 2024, 7:22AM","29"
"Vitinho","BUR","D","Drop","katabe","","","Sat Mar 16, 2024, 7:21AM","29"
"Vitinho","BUR","D","Claim","katabe","","","Sat Mar 16, 2024, 7:17AM","29"
"Keane Lewis-Potter","BRF","F","Drop","katabe","","","Sat Mar 16, 2024, 7:16AM","29"
"Willy Boly","NOT","D","Claim","vu","","","Sat Mar 16, 2024, 7:13AM","29"
"Jordan Clark","LUT","M","Drop","vu","","","Sat Mar 16, 2024, 7:13AM","29"
"Jordan Clark","LUT","M","Claim","vu","","","Sat Mar 16, 2024, 7:04AM","29"
"Callum Hudson-Odoi","CHE/NOT","F","Drop","vu","","","Sat Mar 16, 2024, 7:04AM","29"
"Arijanet Muric","BUR","G","Claim","vu","","","Sat Mar 16, 2024, 7:03AM","29"
"James Trafford","BUR","G","Drop","vu","","","Sat Mar 16, 2024, 7:03AM","29"
"Zanka","BRF","D","Claim","sean","","","Sat Mar 16, 2024, 7:02AM","29"
"Justin Kluivert","BOU","M","Drop","sean","","","Sat Mar 16, 2024, 7:02AM","29"
"Josh Cullen","BUR","M","Claim","tj","","","Sat Mar 16, 2024, 7:01AM","29"
"Josh Brownhill","BUR","M","Drop","tj","","","Sat Mar 16, 2024, 7:01AM","29"
"Neco Williams","NOT","D","Claim","tj","","","Fri Mar 15, 2024, 9:53AM","29"
"Ben Godfrey","EVE","D","Drop","tj","","","Fri Mar 15, 2024, 9:53AM","29"
"Jhon Duran","AVL","F","Claim","mg","1","1/99","Fri Mar 15, 2024, 8:49AM","29"
"Elijah Adebayo","LUT","F","Drop","mg","","","Fri Mar 15, 2024, 8:49AM","29"
"Mathias Jensen","BRF","M","Claim","vu","","","Thu Mar 14, 2024, 3:11PM","29"
"Jacob Ramsey","AVL","M","Drop","vu","","","Thu Mar 14, 2024, 3:11PM","29"
"Aaron Cresswell","WHU","D","Claim","tj","","","Thu Mar 14, 2024, 11:42AM","29"
"Teden Mengi","MUN/LUT","D","Drop","tj","","","Thu Mar 14, 2024, 11:42AM","29"
"Matz Sels","NEW/NOT","G","Claim","katabe","","","Wed Mar 13, 2024, 2:37PM","29"
"Mario Lemina","WOL","M","Drop","katabe","","","Wed Mar 13, 2024, 2:36PM","29"
"Miguel Almiron","NEW","M","Drop","ben","","","Wed Mar 13, 2024, 2:32PM","29"
"Andros Townsend","EVE/LUT","M","Drop","ben","","","Wed Mar 13, 2024, 2:32PM","29"
"Divock Origi","LIV/NOT","F","Claim","katabe","","","Wed Mar 13, 2024, 2:24PM","29"
"Jean-Philippe Mateta","CRY","F","Drop","katabe","","","Wed Mar 13, 2024, 2:23PM","29"
"Issa Kabore","LUT","D","Claim","katabe","","","Wed Mar 13, 2024, 2:20PM","29"
"Santiago Bueno","WOL","D","Drop","katabe","","","Wed Mar 13, 2024, 2:06PM","29"
"Keane Lewis-Potter","BRF","F","Claim","katabe","","","Wed Mar 13, 2024, 2:05PM","29"
"Aaron Ramsdale","ARS","G","Drop","katabe","","","Wed Mar 13, 2024, 2:05PM","29"
"Hwang Hee-Chan","WOL","F","Drop","katabe","","","Wed Mar 13, 2024, 2:04PM","29"
"Dara O'Shea","BUR","D","Claim","katabe","","","Wed Mar 13, 2024, 2:02PM","29"
"Konstantinos Mavropanos","ARS/WHU","D","Drop","katabe","","","Wed Mar 13, 2024, 2:02PM","29"
"Sander Berge","BUR","M","Claim","katabe","","","Wed Mar 13, 2024, 1:59PM","29"
"Vitaly Janelt","BRF","M","Claim","katabe","","","Wed Mar 13, 2024, 1:55PM","29"
"Victor Lindelof","MUN","D","Drop","katabe","","","Wed Mar 13, 2024, 1:52PM","29"
"Chris Richards","CRY","D","Drop","katabe","","","Wed Mar 13, 2024, 1:52PM","29"
"Justin Kluivert","BOU","M","Claim","sean","","","Tue Mar 12, 2024, 3:15PM","29"
"Abdoulaye Doucoure","EVE","M","Drop","sean","","","Tue Mar 12, 2024, 3:15PM","29"
"Wilson Odobert","BUR","F","Claim","sean","","","Tue Mar 12, 2024, 9:08AM","29"
"Jan-Paul van Hecke","BHA","D","Drop","sean","","","Tue Mar 12, 2024, 9:08AM","29"
"Kristoffer Ajer","BRF","D","Claim","vu","","","Tue Mar 12, 2024, 7:20AM","29"
"Mathias Jensen","BRF","M","Drop","vu","","","Tue Mar 12, 2024, 7:20AM","29"
"Mathias Jensen","BRF","M","Claim","vu","","","Tue Mar 12, 2024, 7:19AM","29"
"Romeo Lavia","SOU/CHE","M","Drop","vu","","","Tue Mar 12, 2024, 7:19AM","29"
"Calvin Bassey","FUL","D","Claim","vu","","","Tue Mar 12, 2024, 7:16AM","29"
"Reece Burke","LUT","D","Drop","vu","","","Tue Mar 12, 2024, 7:16AM","29"
"Edson Alvarez","WHU","M","Claim","sean","","","Tue Mar 12, 2024, 7:10AM","29"
"Chris Wood","NOT","F","Claim","sean","","","Tue Mar 12, 2024, 7:08AM","29"
"Luis Sinisterra","LEE/BOU","F","Drop","sean","","","Tue Mar 12, 2024, 7:08AM","29"
"Facundo Buonanotte","BHA","M","Drop","sean","","","Tue Mar 12, 2024, 7:06AM","29"
"Youri Tielemans","AVL","M","Claim","vu","","","Tue Mar 12, 2024, 7:03AM","29"
"Ryan Christie","BOU","M","Drop","vu","","","Tue Mar 12, 2024, 7:03AM","29"
"Ezri Konsa","AVL","D","Claim","vu","","","Tue Mar 12, 2024, 7:03AM","29"
"Adam Smith","BOU","D","Drop","vu","","","Tue Mar 12, 2024, 7:03AM","29"
"Jacob Ramsey","AVL","M","Claim","vu","","","Tue Mar 12, 2024, 7:02AM","29"
"Lewis Cook","BOU","M","Drop","vu","","","Tue Mar 12, 2024, 7:02AM","29"
"Josh Brownhill","BUR","M","Claim","tj","","","Tue Mar 12, 2024, 7:02AM","29"
"Chris Mepham","BOU","D","Drop","tj","","","Tue Mar 12, 2024, 7:02AM","29"
"David Datro Fofana","CHE/BUR","F","Claim","tj","","","Tue Mar 12, 2024, 7:01AM","29"
"Milos Kerkez","BOU","D","Drop","tj","","","Tue Mar 12, 2024, 7:01AM","29"
"James Trafford","BUR","G","Claim","vu","","","Tue Mar 12, 2024, 7:01AM","29"
"Neto","BOU","G","Drop","vu","","","Tue Mar 12, 2024, 7:01AM","29"
"Mads Roerslev","BRF","D","Claim","mg","3","1/99","Tue Mar 12, 2024, 7:00AM","29"
"Luke Shaw","MUN","D","Drop","mg","","","Tue Mar 12, 2024, 7:00AM","29"
"Nathan Collins","BRF","D","Claim","mg","2","1/99","Tue Mar 12, 2024, 7:00AM","29"
"Nayef Aguerd","WHU","D","Drop","mg","","","Tue Mar 12, 2024, 7:00AM","29"
"Brennan Johnson","NOT/TOT","F","Claim","vu","","","Tue Mar 12, 2024, 7:00AM","29"
"Taiwo Awoniyi","NOT","F","Drop","vu","","","Tue Mar 12, 2024, 7:00AM","29"
"Jefferson Lerma","CRY","M","Claim","rafa","","","Tue Mar 12, 2024, 7:00AM","29"
"Craig Dawson","WOL","D","Drop","rafa","","","Tue Mar 12, 2024, 7:00AM","29"
"Romeo Lavia","SOU/CHE","M","Claim","vu","","","Sun Mar 10, 2024, 8:33AM","28"
"Conor Bradley","LIV","D","Drop","vu","","","Sun Mar 10, 2024, 8:33AM","28"
"Nayef Aguerd","WHU","D","Claim","mg","1","1/99","Sun Mar 10, 2024, 6:28AM","28"
"Aaron Cresswell","WHU","D","Drop","mg","","","Sun Mar 10, 2024, 6:28AM","28"
"Aaron Cresswell","WHU","D","Claim","mg","1","1/99","Sun Mar 10, 2024, 6:21AM","28"
"Kurt Zouma","WHU","D","Drop","mg","","","Sun Mar 10, 2024, 6:21AM","28"
"Frank Onyeka","BRF","M","Claim","mg","1","1/99","Sat Mar 9, 2024, 9:07AM","28"
"Edson Alvarez","WHU","M","Drop","mg","","","Sat Mar 9, 2024, 9:07AM","28"
"Reece Burke","LUT","D","Claim","vu","","","Sat Mar 9, 2024, 6:57AM","28"
"Justin Kluivert","BOU","M","Drop","vu","","","Sat Mar 9, 2024, 6:57AM","28"
"Luke Shaw","MUN","D","Claim","mg","1","1/99","Sat Mar 9, 2024, 12:18AM","28"
"Reece Burke","LUT","D","Drop","mg","","","Sat Mar 9, 2024, 12:18AM","28"
"Jean-Philippe Mateta","CRY","F","Claim","katabe","","","Fri Mar 8, 2024, 10:45PM","28"
"Santiago Bueno","WOL","D","Claim","katabe","","","Fri Mar 8, 2024, 10:44PM","28"
"Kurt Zouma","WHU","D","Claim","mg","1","1/99","Fri Mar 8, 2024, 11:07AM","28"
"Frank Onyeka","BRF","M","Drop","mg","","","Fri Mar 8, 2024, 11:07AM","28"
"Edson Alvarez","WHU","M","Claim","mg","1","1/99","Fri Mar 8, 2024, 10:49AM","28"
"Aaron Cresswell","WHU","D","Drop","mg","","","Fri Mar 8, 2024, 10:49AM","28"
"Aaron Ramsdale","ARS","G","Claim","katabe","","","Fri Mar 8, 2024, 7:00AM","28"
"Harry Wilson","FUL","M","Claim","sean","","","Thu Mar 7, 2024, 4:42PM","28"
"Vinicius de Souza Costa","SHU","M","Drop","sean","","","Thu Mar 7, 2024, 4:42PM","28"
"Aaron Cresswell","WHU","D","Claim","mg","1","1/99","Thu Mar 7, 2024, 4:34PM","28"
"Simon Adingra","BHA","F","Drop","mg","","","Thu Mar 7, 2024, 4:34PM","28"
"Harry Toffolo","NOT","D","Claim","rafa","","","Tue Mar 5, 2024, 8:23PM","28"
"Axel Disasi","CHE","D","Drop","rafa","","","Tue Mar 5, 2024, 8:23PM","28"
"Konstantinos Mavropanos","ARS/WHU","D","Claim","katabe","","","Tue Mar 5, 2024, 11:43AM","28"
"Timothy Castagne","LEI/FUL","D","Drop","katabe","","","Tue Mar 5, 2024, 11:41AM","28"
"Victor Lindelof","MUN","D","Claim","katabe","","","Tue Mar 5, 2024, 11:40AM","28"
"Frank Onyeka","BRF","M","Claim","mg","1","1/99","Tue Mar 5, 2024, 7:45AM","28"
"Cody Gakpo","LIV","F","Drop","mg","","","Tue Mar 5, 2024, 7:45AM","28"
"Harry Maguire","MUN","D","Claim","mg","1","1/99","Tue Mar 5, 2024, 7:44AM","28"
"Chris Mepham","BOU","D","Claim","tj","","","Tue Mar 5, 2024, 7:02AM","28"
"James Trafford","BUR","G","Drop","tj","","","Tue Mar 5, 2024, 7:02AM","28"
"Reece Burke","LUT","D","Claim","mg","5","1/99","Tue Mar 5, 2024, 7:00AM","28"
"Rayan Ait-Nouri","WOL","D","Drop","mg","","","Tue Mar 5, 2024, 7:00AM","28"
"Tahith Chong","LUT","M","Claim","mg","2","1/99","Tue Mar 5, 2024, 7:00AM","28"
"Kyle Walker","MCI","D","Drop","mg","","","Tue Mar 5, 2024, 7:00AM","28"
"Andros Townsend","EVE/LUT","M","Claim","ben","","","Tue Mar 5, 2024, 7:00AM","28"
"Joao Gomes","WOL","M","Drop","ben","","","Tue Mar 5, 2024, 7:00AM","28"
"Mark Flekken","BRF","G","Claim","sean","","","Tue Mar 5, 2024, 7:00AM","28"
"Jose Sa","WOL","G","Drop","sean","","","Tue Mar 5, 2024, 7:00AM","28"
"Teden Mengi","MUN/LUT","D","Claim","tj","","","Tue Mar 5, 2024, 7:00AM","28"
"Marcos Senesi","BOU","D","Drop","tj","","","Tue Mar 5, 2024, 7:00AM","28"
"Justin Kluivert","BOU","M","Claim","vu","","","Tue Mar 5, 2024, 7:00AM","28"
"Jacob Ramsey","AVL","M","Drop","vu","","","Tue Mar 5, 2024, 7:00AM","28"
"Chiedozie Ogbene","LUT","F","Claim","mg","1","1/99","Tue Mar 5, 2024, 7:00AM","28"
"Adam Wharton","CRY","M","Drop","mg","","","Tue Mar 5, 2024, 7:00AM","28"
"Joelinton","NEW","M","Drop","katabe","","","Tue Mar 5, 2024, 6:54AM","28"
"Jurrien Timber","ARS","D","Drop","katabe","","","Tue Mar 5, 2024, 6:54AM","28"
"Evan Ferguson","BHA","F","Drop","katabe","","","Tue Mar 5, 2024, 6:54AM","28"
"Kyle Walker","MCI","D","Claim","mg","1","1/99","Sat Mar 2, 2024, 7:49PM","27"
"Harry Maguire","MUN","D","Drop","mg","","","Sat Mar 2, 2024, 7:49PM","27"
"Chiedozie Ogbene","LUT","F","Drop","mg","","","Sat Mar 2, 2024, 9:29AM","28"
"Nathan Ake","MCI","D","Drop","katabe","","","Sat Mar 2, 2024, 9:09AM","27"
"Lewis Cook","BOU","M","Claim","vu","","","Sat Mar 2, 2024, 9:04AM","27"
"Kieran Tierney","ARS","D","Drop","vu","","","Sat Mar 2, 2024, 9:04AM","27"
"Chris Richards","CRY","D","Claim","katabe","","","Sat Mar 2, 2024, 6:36AM","27"
"Emerson Royal","TOT","D","Drop","katabe","","","Sat Mar 2, 2024, 6:36AM","27"
"Jurrien Timber","ARS","D","Claim","katabe","","","Sat Mar 2, 2024, 6:25AM","27"
"Joelinton","NEW","M","Claim","katabe","","","Sat Mar 2, 2024, 6:24AM","27"
"David Raya","BRF/ARS","G","Drop","katabe","","","Sat Mar 2, 2024, 6:22AM","27"
"Dara O'Shea","BUR","D","Drop","katabe","","","Sat Mar 2, 2024, 6:22AM","27"
"Emerson Royal","TOT","D","Claim","katabe","","","Sat Mar 2, 2024, 6:20AM","27"
"Enzo Fernandez","CHE","M","Drop","katabe","","","Sat Mar 2, 2024, 6:18AM","27"
"Evan Ferguson","BHA","F","Claim","katabe","","","Sat Mar 2, 2024, 6:16AM","27"
"Neal Maupay","EVE/BRF","F","Drop","katabe","","","Sat Mar 2, 2024, 6:16AM","27"
"Christian Norgaard","BRF","M","Claim","sean","","","Sat Mar 2, 2024, 6:12AM","27"
"Diogo Jota","LIV","F","Drop","sean","","","Sat Mar 2, 2024, 6:12AM","27"
"Luis Sinisterra","LEE/BOU","F","Claim","sean","","","Sat Mar 2, 2024, 6:10AM","27"
"Danny Welbeck","BHA","F","Drop","sean","","","Sat Mar 2, 2024, 6:10AM","27"
"Timo Werner","CHE/TOT","F","Claim","ben","","","Fri Mar 1, 2024, 9:54PM","27"
"Manuel Akanji","MCI","D","Drop","ben","","","Fri Mar 1, 2024, 9:54PM","27"
"Harvey Elliott","LIV","M","Claim","ben","","","Fri Mar 1, 2024, 9:48PM","27"
"Ben Mee","BRF","D","Drop","ben","","","Fri Mar 1, 2024, 5:58PM","27"
"David Raya","BRF/ARS","G","Claim","katabe","","","Fri Mar 1, 2024, 3:37PM","27"
"Martin Dubravka","NEW","G","Drop","katabe","","","Fri Mar 1, 2024, 3:37PM","27"
"Tosin Adarabioyo","FUL","D","Claim","katabe","","","Fri Mar 1, 2024, 11:04AM","27"
"Teden Mengi","MUN/LUT","D","Drop","katabe","","","Fri Mar 1, 2024, 11:04AM","27"
"Teden Mengi","MUN/LUT","D","Claim","katabe","","","Fri Mar 1, 2024, 9:40AM","27"
"Gabriel Osho","LUT","D","Drop","katabe","","","Fri Mar 1, 2024, 9:39AM","27"
"Emerson","WHU","D","Claim","ben","","","Fri Mar 1, 2024, 7:00AM","27"
"Micky van de Ven","TOT","D","Claim","sean","","","Thu Feb 29, 2024, 9:37PM","27"
"Ruben Dias","MCI","D","Drop","sean","","","Thu Feb 29, 2024, 9:37PM","27"
"Enzo Fernandez","CHE","M","Claim","katabe","","","Wed Feb 28, 2024, 9:57AM","27"
"Dara O'Shea","BUR","D","Claim","katabe","","","Wed Feb 28, 2024, 9:56AM","27"
"Gabriel Osho","LUT","D","Claim","katabe","","","Wed Feb 28, 2024, 9:52AM","27"
"Timothy Castagne","LEI/FUL","D","Claim","katabe","","","Wed Feb 28, 2024, 9:39AM","27"
"Antoine Semenyo","BOU","F","Claim","mg","1","1/99","Tue Feb 27, 2024, 3:04PM","27"
"Jean-Philippe Mateta","CRY","F","Drop","mg","","","Tue Feb 27, 2024, 3:04PM","27"
"Kieran Tierney","ARS","D","Claim","vu","","","Tue Feb 27, 2024, 7:29AM","27"
"Joao Pedro","BHA","F","Drop","vu","","","Tue Feb 27, 2024, 7:29AM","27"
"Joao Gomes","WOL","M","Claim","ben","","","Tue Feb 27, 2024, 7:16AM","27"
"Adam Smith","BOU","D","Claim","vu","","","Tue Feb 27, 2024, 7:07AM","27"
"Nelson Semedo","WOL","D","Drop","vu","","","Tue Feb 27, 2024, 7:07AM","27"
"Mark Flekken","BRF","G","Drop","ben","","","Tue Feb 27, 2024, 7:07AM","27"
"Milos Kerkez","BOU","D","Claim","tj","","","Tue Feb 27, 2024, 7:05AM","27"
"Toti","WOL","D","Drop","tj","","","Tue Feb 27, 2024, 7:05AM","27"
"Ryan Christie","BOU","M","Claim","vu","","","Tue Feb 27, 2024, 7:03AM","27"
"Sven Botman","NEW","D","Drop","vu","","","Tue Feb 27, 2024, 7:03AM","27"
"Thomas Kaminski","LUT","G","Claim","tj","","","Tue Feb 27, 2024, 7:03AM","27"
"Mathias Jensen","BRF","M","Drop","tj","","","Tue Feb 27, 2024, 7:03AM","27"
"Jacob Ramsey","AVL","M","Claim","vu","","","Tue Feb 27, 2024, 7:03AM","27"
"Youri Tielemans","AVL","M","Drop","vu","","","Tue Feb 27, 2024, 7:03AM","27"
"Ruben Dias","MCI","D","Claim","sean","","","Tue Feb 27, 2024, 7:00AM","27"
"Kyle Walker","MCI","D","Drop","sean","","","Tue Feb 27, 2024, 7:00AM","27"
"Mario Lemina","WOL","M","Claim","katabe","","","Tue Feb 27, 2024, 7:00AM","27"
"Jose Sa","WOL","G","Claim","sean","","","Tue Feb 27, 2024, 7:00AM","27"
"David Raya","BRF/ARS","G","Drop","sean","","","Tue Feb 27, 2024, 7:00AM","27"
"Max Aarons","BOU","D","Drop","katabe","","","Mon Feb 26, 2024, 4:19PM","27"
"Clement Lenglet","TOT/AVL","D","Drop","katabe","","","Mon Feb 26, 2024, 4:19PM","27"
"Joel Ward","CRY","D","Drop","katabe","","","Mon Feb 26, 2024, 4:19PM","27"
"Chris Richards","CRY","D","Drop","katabe","","","Mon Feb 26, 2024, 4:18PM","27"
"Mohamed Elneny","ARS","M","Drop","katabe","","","Mon Feb 26, 2024, 7:54AM","27"
"Max Aarons","BOU","D","Claim","katabe","","","Sat Feb 24, 2024, 9:07AM","26"
"Ruben Dias","MCI","D","Drop","katabe","","","Sat Feb 24, 2024, 9:07AM","26"
"Josh Brownhill","BUR","M","Drop","ben","","","Sat Feb 24, 2024, 8:36AM","27"
"Mohamed Elneny","ARS","M","Claim","katabe","","","Sat Feb 24, 2024, 8:04AM","26"
"Mario Lemina","WOL","M","Drop","katabe","","","Sat Feb 24, 2024, 8:04AM","26"
"Facundo Buonanotte","BHA","M","Claim","sean","","","Sat Feb 24, 2024, 6:24AM","26"
"Sean Longstaff","NEW","M","Drop","sean","","","Sat Feb 24, 2024, 6:24AM","26"
"Clement Lenglet","TOT/AVL","D","Claim","katabe","","","Sat Feb 24, 2024, 6:20AM","26"
"Adam Webster","BHA","D","Drop","katabe","","","Sat Feb 24, 2024, 6:20AM","26"
"Youri Tielemans","AVL","M","Claim","vu","","","Sat Feb 24, 2024, 6:16AM","26"
"Joao Gomes","WOL","M","Drop","vu","","","Sat Feb 24, 2024, 6:16AM","26"
"Danny Welbeck","BHA","F","Claim","sean","","","Sat Feb 24, 2024, 6:11AM","26"
"Micky van de Ven","TOT","D","Drop","sean","","","Sat Feb 24, 2024, 6:11AM","26"
"Josh Brownhill","BUR","M","Claim","ben","","","Fri Feb 23, 2024, 8:30PM","26"
"Harvey Elliott","LIV","M","Drop","ben","","","Fri Feb 23, 2024, 8:30PM","26"
"Neal Maupay","EVE/BRF","F","Claim","katabe","","","Fri Feb 23, 2024, 11:11AM","26"
"Jean-Philippe Mateta","CRY","F","Claim","mg","1","1/99","Fri Feb 23, 2024, 7:03AM","26"
"Josh Brownhill","BUR","M","Drop","mg","","","Fri Feb 23, 2024, 7:03AM","26"
"Joel Ward","CRY","D","Claim","katabe","","","Fri Feb 23, 2024, 7:00AM","26"
"Daniel Munoz","CRY","D","Claim","tj","","","Fri Feb 23, 2024, 7:00AM","26"
"Harvey Barnes","NEW","M","Drop","tj","","","Fri Feb 23, 2024, 7:00AM","26"
"Sven Botman","NEW","D","Claim","vu","","","Fri Feb 23, 2024, 7:00AM","26"
"Tosin Adarabioyo","FUL","D","Drop","vu","","","Fri Feb 23, 2024, 7:00AM","26"
"Mark Flekken","BRF","G","Claim","ben","","","Fri Feb 23, 2024, 7:00AM","26"
"Brennan Johnson","NOT/TOT","F","Drop","ben","","","Fri Feb 23, 2024, 7:00AM","26"
"Chris Richards","CRY","D","Claim","katabe","","","Fri Feb 23, 2024, 7:00AM","26"
"Ben Godfrey","EVE","D","Claim","tj","","","Fri Feb 23, 2024, 7:00AM","26"
"Luke Shaw","MUN","D","Drop","tj","","","Fri Feb 23, 2024, 7:00AM","26"
"Cristian Romero","TOT","D","Claim","aj","","","Fri Feb 23, 2024, 7:00AM","26"
"Willy Boly","NOT","D","Drop","aj","","","Fri Feb 23, 2024, 7:00AM","26"
"Jordan Ayew","CRY","F","Claim","rafa","","","Fri Feb 23, 2024, 7:00AM","26"
"Vinicius de Souza Costa","SHU","M","Claim","sean","","","Wed Feb 21, 2024, 6:34PM","26"
"Timo Werner","CHE/TOT","F","Drop","sean","","","Wed Feb 21, 2024, 6:34PM","26"
"Adam Webster","BHA","D","Claim","katabe","","","Wed Feb 21, 2024, 1:17PM","26"
"Nathan Ake","MCI","D","Claim","katabe","","","Wed Feb 21, 2024, 1:14PM","26"
"Amari'i Bell","LUT","D","Drop","katabe","","","Wed Feb 21, 2024, 1:09PM","26"
"Harvey Elliott","LIV","M","Claim","ben","","","Wed Feb 21, 2024, 10:48AM","26"
"Matheus Nunes","WOL/MCI","M","Drop","ben","","","Wed Feb 21, 2024, 10:48AM","26"
"Julio Enciso","BHA","F","Claim","ben","","","Wed Feb 21, 2024, 9:23AM","26"
"Enes Unal","MCI/BOU","F","Drop","ben","","","Wed Feb 21, 2024, 9:23AM","26"
"Cody Gakpo","LIV","F","Claim","mg","1","1/99","Wed Feb 21, 2024, 7:12AM","26"
"Takehiro Tomiyasu","ARS","D","Drop","mg","","","Wed Feb 21, 2024, 7:12AM","26"
"Cristian Romero","TOT","D","Drop","katabe","","","Tue Feb 20, 2024, 3:16PM","26"
"Sven Botman","NEW","D","Drop","katabe","","","Tue Feb 20, 2024, 3:15PM","26"
"Neal Maupay","EVE/BRF","F","Drop","katabe","","","Tue Feb 20, 2024, 2:10PM","26"
"Vitaly Janelt","BRF","M","Drop","katabe","","","Tue Feb 20, 2024, 2:10PM","26"
"Tosin Adarabioyo","FUL","D","Claim","vu","","","Tue Feb 20, 2024, 7:36AM","26"
"Adam Smith","BOU","D","Drop","vu","","","Tue Feb 20, 2024, 7:36AM","26"
"Joao Gomes","WOL","M","Claim","vu","","","Tue Feb 20, 2024, 7:32AM","26"
"Christian Norgaard","BRF","M","Drop","vu","","","Tue Feb 20, 2024, 7:32AM","26"
"Adam Smith","BOU","D","Claim","vu","","","Tue Feb 20, 2024, 7:23AM","26"
"Nathan Collins","BRF","D","Drop","vu","","","Tue Feb 20, 2024, 7:23AM","26"
"Neto","BOU","G","Claim","vu","","","Tue Feb 20, 2024, 7:18AM","26"
"Mark Flekken","BRF","G","Drop","vu","","","Tue Feb 20, 2024, 7:18AM","26"
"Josh Brownhill","BUR","M","Claim","mg","1","1/99","Tue Feb 20, 2024, 7:06AM","26"
"Toti","WOL","D","Claim","tj","","","Tue Feb 20, 2024, 7:06AM","26"
"Caoimhin Kelleher","LIV","G","Drop","tj","","","Tue Feb 20, 2024, 7:06AM","26"
"Ben Davies","TOT","D","Drop","mg","","","Tue Feb 20, 2024, 7:04AM","26"
"Takehiro Tomiyasu","ARS","D","Claim","mg","1","1/99","Tue Feb 20, 2024, 7:04AM","26"
"Ben Davies","TOT","D","Claim","mg","1","1/99","Tue Feb 20, 2024, 7:03AM","26"
"Harvey Barnes","NEW","M","Claim","tj","","","Tue Feb 20, 2024, 7:02AM","26"
"Wataru Endo","LIV","M","Drop","tj","","","Tue Feb 20, 2024, 7:02AM","26"
"Tariq Lamptey","BHA","D","Drop","mg","","","Tue Feb 20, 2024, 7:02AM","26"
"Dele Alli","EVE","M","Drop","mg","","","Tue Feb 20, 2024, 7:02AM","26"
"Nelson Semedo","WOL","D","Claim","vu","","","Tue Feb 20, 2024, 7:00AM","26"
"Gabriel Osho","LUT","D","Drop","vu","","","Tue Feb 20, 2024, 7:00AM","26"
"Jakub Kiwior","ARS","D","Claim","sean","","","Tue Feb 20, 2024, 7:00AM","26"
"Curtis Jones","LIV","M","Drop","sean","","","Tue Feb 20, 2024, 7:00AM","26"
"Callum Hudson-Odoi","CHE/NOT","F","Claim","vu","","","Tue Feb 20, 2024, 7:00AM","26"
"Nathan Ferguson","CRY","D","Drop","vu","","","Tue Feb 20, 2024, 7:00AM","26"
"David Raya","BRF/ARS","G","Claim","sean","","","Tue Feb 20, 2024, 7:00AM","26"
"Thomas Kaminski","LUT","G","Drop","sean","","","Tue Feb 20, 2024, 7:00AM","26"
"Ansu Fati","BHA","F","Drop","rafa","","","Sun Feb 18, 2024, 5:48AM","25"
"Nathan Ferguson","CRY","D","Claim","vu","","","Sat Feb 17, 2024, 8:44AM","25"
"Nathan Ake","MCI","D","Drop","vu","","","Sat Feb 17, 2024, 8:44AM","25"
"Wataru Endo","LIV","M","Claim","tj","","","Sat Feb 17, 2024, 4:18AM","25"
"Joseph Gomez","LIV","D","Drop","tj","","","Sat Feb 17, 2024, 4:18AM","25"
